domain,domain_length,domain_entropy,numeric_ratio,special_char_ratio,vowel_ratio,consonant_ratio,dns_record_type,ip_count,has_mx_response,has_txt_dns_response,has_spf_info,has_dkim_info,has_dmarc_info,label
amacardkey.cardcheck.xyz,24,3.4182958340544896,0.0,0.08333333333333333,0.25,0.6666666666666666,0,0,False,False,False,False,False,1
http://123.129.133.124:56990/Mozi.m,35,4.014438730983426,0.4857142857142857,0.2571428571428571,0.05714285714285714,0.2,0,0,False,False,False,False,False,1
dgfhmj.blogspot.fi,18,3.725480556997868,0.0,0.1111111111111111,0.16666666666666666,0.7222222222222222,0,0,False,False,False,False,False,1
http://2.59.163.172/ukraine/invoce415.pdf,41,4.5098718216384865,0.2926829268292683,0.21951219512195122,0.17073170731707318,0.3170731707317073,0,0,False,False,False,False,False,1
aqws47.000webhostapp.com,24,3.8868421881310122,0.20833333333333334,0.08333333333333333,0.20833333333333334,0.5,0,0,False,False,False,False,False,1
bceeded8-d019-4210-9290-ac0d108a2fd7.htmlpasta.com,50,4.223981820580905,0.36,0.12,0.16,0.36,0,0,False,False,False,False,False,1
http://189.182.113.111:42476/i,30,3.601515280317513,0.5666666666666667,0.26666666666666666,0.03333333333333333,0.13333333333333333,0,0,False,False,False,False,False,1
https://skynetx.com.br/cgi-bin/1xx.pdf,38,4.346225868535945,0.02631578947368421,0.23684210526315788,0.10526315789473684,0.631578947368421,0,0,False,False,False,False,False,1
business-copyright-restrict121.web.app,38,4.148600210527341,0.07894736842105263,0.10526315789473684,0.23684210526315788,0.5789473684210527,0,0,False,False,False,False,False,1
http://46.203.233.30/android/mpsl,33,4.112427831414106,0.30303030303030304,0.24242424242424243,0.09090909090909091,0.36363636363636365,0,0,False,False,False,False,False,1
ebay.leintal.com,16,3.5,0.0,0.125,0.375,0.5,0,0,False,False,False,False,False,1
east.linkcom.ltd,16,3.625,0.0,0.125,0.25,0.625,0,0,False,False,False,False,False,1
http://115.48.161.229:56866/i,29,3.6335059949783677,0.5517241379310345,0.27586206896551724,0.034482758620689655,0.13793103448275862,0,0,False,False,False,False,False,1
cloud-object-storage-7aobetshstroreg-cos-static-web-hosting-b4n.s3.us-east.cloud-object-storage.appdomain.cloud,111,4.215147649452972,0.02702702702702703,0.14414414414414414,0.3063063063063063,0.5225225225225225,0,0,False,False,False,False,False,1
cmurkddjfkf.weebly.com,22,3.8230679822736606,0.0,0.09090909090909091,0.18181818181818182,0.7272727272727273,0,0,False,False,False,False,False,1
denizmahirkartal.com,20,3.7841837197791888,0.0,0.05,0.35,0.6,0,0,False,False,False,False,False,1
http://42.230.224.148:50616/bin.sh,34,3.984234164652489,0.47058823529411764,0.2647058823529412,0.029411764705882353,0.23529411764705882,0,0,False,False,False,False,False,1
americabank-17.netlify.app,26,4.008132025833399,0.07692307692307693,0.11538461538461539,0.3076923076923077,0.5,0,0,False,False,False,False,False,1
charleskingconsulting.com,25,3.863465189601647,0.0,0.04,0.28,0.68,0,0,False,False,False,False,False,1
http://117.235.117.156:33920/Mozi.m,35,4.01158543183743,0.4857142857142857,0.2571428571428571,0.05714285714285714,0.2,0,0,False,False,False,False,False,1
bmacfjlssocjaloa-dot-millinium.ey.r.appspot.com,47,4.094393309484218,0.0,0.1276595744680851,0.2978723404255319,0.574468085106383,0,0,False,False,False,False,False,1
ekl-net.conn-aocseccesas.iamqcq.top,35,3.718309360223419,0.0,0.14285714285714285,0.3142857142857143,0.5428571428571428,0,0,False,False,False,False,False,1
http://123.5.168.177:54370/i,28,3.842370993177109,0.5357142857142857,0.2857142857142857,0.03571428571428571,0.14285714285714285,0,0,False,False,False,False,False,1
http://64.225.61.173:81/tcp_linux_amd64,39,4.419391000636162,0.358974358974359,0.2564102564102564,0.07692307692307693,0.3076923076923077,0,0,False,False,False,False,False,1
http://123.14.255.31:60821/bin.sh,33,3.9683403313485464,0.45454545454545453,0.2727272727272727,0.030303030303030304,0.24242424242424243,0,0,False,False,False,False,False,1
dropnoww-768eb.firebaseapp.com,30,4.098068512058838,0.1,0.1,0.3,0.5,0,0,False,False,False,False,False,1
http://104.248.155.103/realtek.sh,33,4.066677073707229,0.36363636363636365,0.24242424242424243,0.09090909090909091,0.30303030303030304,0,0,False,False,False,False,False,1
cyprusvillamanagement.com,25,3.9434651896016466,0.0,0.04,0.32,0.64,0,0,False,False,False,False,False,1
bafybeidzr5k2yahgkda2ppre6zdtn42thihgpw7kdk3khx5uilormbwqje.ipfs.dweb.link,74,4.716162913412492,0.12162162162162163,0.04054054054054054,0.1891891891891892,0.6486486486486487,0,0,False,False,False,False,False,1
apper-amaznm.servebeer.com,26,3.551428065028506,0.0,0.11538461538461539,0.34615384615384615,0.5384615384615384,0,0,False,False,False,False,False,1
bhmqfpuiosiknatx-dot-millinium.ey.r.appspot.com,47,4.270237192601036,0.0,0.1276595744680851,0.2978723404255319,0.574468085106383,0,0,False,False,False,False,False,1
http://117.205.160.231:53129/bin.sh,35,3.9544425746945726,0.4857142857142857,0.2571428571428571,0.02857142857142857,0.22857142857142856,0,0,False,False,False,False,False,1
